구분,시설수,종사자수,정원,입소인원,,,취학아동,,,,,,,
,,,,계,남,여,계,미취학,,초등재,중재,고재,대재,기타
,,,,,,,,0~3세미만,3~6세미만,,,,,
계,306,7740,15479,10312,5744,4568,10312,655,1436,3806,1781,1780,444,410
서울,43,1588,2494,1923,1086,837,1923,180,399,747,219,236,46,96
부산,20,536,1210,800,461,339,800,39,75,281,134,229,19,23
대구,22,434,1079,637,331,306,637,23,71,249,117,102,24,51
인천,16,438,671,506,297,209,506,54,70,198,101,77,3,3
광주,15,372,629,452,255,197,452,47,54,175,79,68,16,13
대전,13,296,712,402,253,149,402,15,50,119,102,72,8,36
울산,3,83,189,125,68,57,125,7,19,51,28,9,3,8
세종,1,17,48,18,11,7,18,,1,4,5,7,,1
경기,37,887,1458,1024,529,495,1024,77,154,392,203,158,10,30
강원,11,205,467,274,138,136,274,21,23,81,48,46,31,24
충북,16,370,672,477,311,166,477,35,63,180,75,77,20,27
충남,14,399,770,564,284,280,564,35,97,210,95,82,36,9
전북,17,388,886,544,291,253,544,19,67,179,114,128,12,25
전남,25,627,1541,889,513,376,889,44,117,326,129,148,90,35
경북,19,432,1042,690,365,325,690,19,73,260,133,142,47,16
경남,26,453,1288,748,412,336,748,18,90,284,145,148,51,12
제주,8,215,323,239,139,100,239,22,13,70,54,51,28,1