시도,계(현원),,아동양육시설,,아동보호치료시설,,자립지원시설,,아동일시보호시설,,
시도,정원,현원,정원,현원,정원,현원,정원,현원,정원,현원
계,15479,10312,13875,9439,618,435,441,215,545,223
서울,2494,1923,2100,1684,175,130,89,59,130,50
부산,1210,800,1131,758,40,15,29,17,10,10
대구,1079,637,917,535,72,53,60,34,30,15
인천,671,506,629,476,,,,,42,30
광주,629,452,532,406,,,30,11,67,35
대전,712,402,563,312,115,83,34,7,,
울산,189,125,150,113,,,30,10,9,2
세종,48,18,48,18,,,,,,
경기,1458,1024,1308,935,40,40,,,110,49
강원,467,274,388,238,,,29,20,50,16
충북,672,477,612,439,36,36,24,2,,
충남,770,564,740,549,,,30,15,,
전북,886,544,762,490,70,44,30,7,24,3
전남,1541,889,1448,852,40,13,24,19,29,5
경북,1042,690,1007,686,,,,,35,4
경남,1288,748,1258,727,30,21,,,,
제주,323,239,282,221,,,32,14,9,4